Match_ID,Round,Date,LogoHome,LogoAway,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
xQHFEG26,ROUND 9,22.10.2023,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,https://static.flashscore.com/res/image/data/Qo3RdMjl-ARW4wdCc.png,Aston Villa,West Ham,4,1,1,0,0.72,0.66,62,38,10,6,6,5,9,4,5,1,1,2,9,2,1,3,3,7,-,-,-,-,278,164,51,36,32,25,-,-
bmbpUe2g,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Sheffield Utd,Manchester Utd,1,2,1,1,1.25,0.58,44,56,7,6,3,3,7,7,2,1,1,1,7,11,2,3,6,6,-,-,2,0,200,251,79,37,23,19,-,-
pjLNCfXI,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Chelsea,Arsenal,2,2,1,0,1.23,0.11,38,62,7,2,5,2,8,4,0,3,1,1,13,10,0,1,3,8,-,-,2,1,191,302,26,71,15,27,-,-
bZIBFdm0,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Bournemouth,Wolves,1,2,1,0,0.48,0.59,43,57,4,6,2,5,8,6,1,4,0,1,12,12,1,1,8,8,-,-,2,2,192,251,56,50,21,20,-,-
6aMJDzIC,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Brentford,Burnley,3,0,1,0,1.89,0.11,55,45,15,3,8,2,7,6,4,2,2,1,10,3,1,6,4,6,-,-,0,3,225,185,55,39,42,10,-,-
ptI9zbPP,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester City,Brighton,2,1,2,0,0.42,0.04,64,36,5,1,2,0,3,6,2,0,2,0,5,6,1,1,4,3,-,-,1,1,369,209,76,31,41,8,-,-
2L4yWHXt,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Newcastle,Crystal Palace,4,0,3,0,1.71,0.12,64,36,8,2,3,2,3,1,4,2,0,0,0,10,0,2,3,7,-,-,2,2,283,161,57,40,28,9,-,-
tC3uVymm,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,Nottingham,Luton,2,2,0,0,1.60,0.20,66,34,8,4,5,3,5,8,2,2,0,0,6,2,1,3,8,6,-,-,-,-,289,142,50,63,32,23,-,-
nea6yvAJ,ROUND 9,21.10.2023,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Liverpool,Everton,2,0,0,0,0.55,0.09,73,27,11,3,10,2,5,3,7,3,1,0,7,8,1,1,4,6,0,1,0,3,324,114,61,50,36,18,-,-
Od6ZF5sq,ROUND 8,08.10.2023,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Arsenal,Manchester City,1,0,0,0,0.17,0.46,45,55,5,3,5,2,6,6,2,2,2,0,6,9,1,0,4,6,-,-,1,2,226,276,48,47,24,14,-,-
